t,p1x,p1y,p1h,p2x,p2y,p2h,p1ax,p1ay,p2ax,p2ay
674,330.0,350.0,0,569.4274576159308,350.0,180.0,0.0,0.0,-4.952788789525503,6.065416937945301e-16
718,330.0,350.0,0,567.3365699540143,350.0,180.0,0.0,0.0,-0.7864324071417387,9.631019301518785e-17
735,330.0,350.0,0,566.2198812941385,350.0,180.0,0.0,0.0,-2.6716756019877153,3.2718589743343296e-16
752,330.0,350.0,0,564.8951605717302,350.0,180.0,0.0,0.0,-1.7995853160252022,2.2038563970628425e-16
769,330.0,350.0,0,563.4303137633865,350.0,180.0,0.0,0.0,-1.2121633731445893,1.484471994965181e-16
786,330.0,350.0,0,561.8710809276171,350.0,180.0,0.0,0.0,-0.8164881265194168,9.999095706838235e-17
803,330.0,350.0,0,560.2482716198888,350.0,180.0,0.0,0.0,-0.5499694806136212,6.735183640622042e-17
820,330.0,350.0,0,558.5826385182474,350.0,180.0,0.0,0.0,-0.370448044230346,4.536680116170911e-17
837,330.0,350.0,0,556.8881601965334,350.0,180.0,0.0,0.0,-0.24952612519693756,3.055813705260705e-17
854,330.0,350.0,0,555.1742523323845,350.0,180.0,0.0,0.0,-0.16807562659740097,2.058332781271923e-17
871,330.0,350.0,0,553.4472571311217,350.0,180.0,0.0,0.0,-0.11321225877175531,1.386450303290717e-17
888,330.0,350.0,0,551.711446570809,350.0,180.0,0.0,0.0,-0.07625743122709974,9.338841906346565e-18
905,330.0,350.0,0,549.9696981673354,350.0,180.0,0.0,0.0,-0.05136542526794251,6.290450364123051e-18
922,330.0,350.0,0,548.2239501557681,350.0,180.0,0.0,0.0,-0.0345986859313348,4.237116998051375e-18
939,330.0,350.0,0,546.4755080910793,350.0,180.0,0.0,0.0,-0.02330495779857203,2.8540341972284435e-18
956,330.0,350.0,0,544.7252513680411,350.0,180.0,0.0,0.0,-0.015697736586615628,1.92241828646591e-18
973,330.0,350.0,0,542.9737723287468,350.0,180.0,0.0,0.0,-0.010573670035049661,1.2949011163662972e-18
990,330.0,350.0,0,541.2214699625545,350.0,180.0,0.0,0.0,-0.00712220500026754,8.722185556449572e-19
1007,330.0,350.0,0,539.4686130204268,350.0,180.0,0.0,0.0,-0.004797369683156289,5.875083426801994e-19
1024,330.0,350.0,0,537.7153825274424,350.0,180.0,0.0,0.0,-0.003231408794887363,3.9573344373973457e-19
1041,330.0,350.0,0,535.9619004183427,350.0,180.0,0.0,0.0,-0.0021766099945039357,2.6655784627602955e-19
